,Latitude,Longitude,NOx,Normalized
396,44.76055,12.193467,7.932573,0.28063458
397,44.76055,12.212312,7.9178433,0.2801135
398,44.76055,12.231155,7.903949,0.27962193
399,44.76055,12.25,7.8908443,0.27915832
400,44.771107,8.5,7.773315,0.27500042
401,44.771107,8.518845,7.8381114,0.27729276
402,44.771107,8.537688,7.9090333,0.27980182
403,44.771107,8.556533,7.9863787,0.2825381
404,44.771107,8.5753765,8.070418,0.2855112
405,44.771107,8.594221,8.161425,0.28873077
406,44.771107,8.613066,8.25964,0.2922054
407,44.771107,8.631909,8.365294,0.29594317
408,44.771107,8.650754,8.47859,0.2999513
409,44.771107,8.669598,8.599694,0.30423567
410,44.771107,8.688442,8.728748,0.30880126
411,44.771107,8.707287,8.865841,0.31365126
412,44.771107,8.7261305,9.010999,0.3187866
413,44.771107,8.744975,9.164223,0.32420728
414,44.771107,8.763819,9.325415,0.32990983
415,44.771107,8.782663,9.494445,0.3358897
416,44.771107,8.801508,9.671091,0.342139
417,44.771107,8.820352,9.855023,0.34864607
418,44.771107,8.839196,10.045879,0.35539806
419,44.771107,8.85804,10.243153,0.3623771
420,44.771107,8.876884,10.446308,0.36956424
421,44.771107,8.895729,10.654648,0.37693477
422,44.771107,8.914573,10.8674345,0.38446262
423,44.771107,8.933417,11.083842,0.3921186
424,44.771107,8.952261,11.302949,0.39987004
425,44.771107,8.971106,11.523806,0.4076834
426,44.771107,8.98995,11.745365,0.41552162
427,44.771107,9.008794,11.96657,0.4233473
428,44.771107,9.027638,12.18634,0.4311222
429,44.771107,9.046482,12.403582,0.43880767
430,44.771107,9.065327,12.617232,0.4463661
431,44.771107,9.084171,12.826241,0.4537603
432,44.771107,9.103015,13.029615,0.46095517
433,44.771107,9.12186,13.226431,0.467918
434,44.771107,9.140703,13.415834,0.47461864
435,44.771107,9.159548,13.597084,0.4810308
436,44.771107,9.178392,13.769514,0.48713094
437,44.771107,9.197236,13.932566,0.4928993
438,44.771107,9.216081,14.085821,0.4983211
439,44.771107,9.234924,14.228954,0.50338477
440,44.771107,9.253769,14.361764,0.5080833
441,44.771107,9.272614,14.484165,0.5124135
442,44.771107,9.291457,14.596161,0.51637566
