,Latitude,Longitude,PM2.5,Normalized
474,44.771107,9.894472,13.297397,0.99277174
475,44.771107,9.913317,13.285305,0.991869
476,44.771107,9.93216,13.271892,0.99086756
477,44.771107,9.951005,13.25713,0.9897654
478,44.771107,9.96985,13.241034,0.9885637
479,44.771107,9.988693,13.223572,0.98726004
480,44.771107,10.007538,13.204777,0.98585683
481,44.771107,10.0263815,13.184609,0.98435116
482,44.771107,10.045226,13.163127,0.98274726
483,44.771107,10.064071,13.140275,0.9810412
484,44.771107,10.082914,13.116093,0.9792357
485,44.771107,10.101759,13.090593,0.977332
486,44.771107,10.120603,13.063768,0.9753293
487,44.771107,10.139447,13.035631,0.9732286
488,44.771107,10.158292,13.006201,0.9710313
489,44.771107,10.177135,12.975489,0.9687384
490,44.771107,10.19598,12.943512,0.96635103
491,44.771107,10.214824,12.910282,0.9638701
492,44.771107,10.233668,12.875839,0.96129864
493,44.771107,10.252513,12.840167,0.9586354
494,44.771107,10.271357,12.803312,0.95588386
495,44.771107,10.290201,12.765304,0.95304614
496,44.771107,10.309045,12.726151,0.9501231
497,44.771107,10.327889,12.685881,0.9471165
498,44.771107,10.346734,12.644523,0.94402874
499,44.771107,10.365578,12.602102,0.9408617
500,44.771107,10.384422,12.558655,0.9376179
501,44.771107,10.403266,12.5142,0.934299
502,44.771107,10.422111,12.468772,0.93090737
503,44.771107,10.440955,12.4224,0.9274453
504,44.771107,10.459799,12.375117,0.92391515
505,44.771107,10.478643,12.326954,0.9203193
506,44.771107,10.497487,12.277939,0.9166599
507,44.771107,10.516332,12.228107,0.91293955
508,44.771107,10.535176,12.1775,0.9091612
509,44.771107,10.55402,12.126146,0.9053272
510,44.771107,10.572865,12.074061,0.9014386
511,44.771107,10.591708,12.021297,0.8974993
512,44.771107,10.610553,11.967892,0.89351207
513,44.771107,10.629397,11.913863,0.8894784
514,44.771107,10.648241,11.859257,0.8854015
515,44.771107,10.667086,11.804106,0.88128394
516,44.771107,10.685929,11.748434,0.8771276
517,44.771107,10.704774,11.692286,0.8729356
518,44.771107,10.7236185,11.635682,0.8687096
519,44.771107,10.742462,11.578671,0.86445326
520,44.771107,10.761307,11.521271,0.86016774
521,44.771107,10.78015,11.463527,0.85585666
522,44.771107,10.798995,11.405455,0.851521
523,44.771107,10.81784,11.347093,0.8471638
524,44.771107,10.836683,11.28848,0.8427878
525,44.771107,10.855528,11.229634,0.83839446
526,44.771107,10.874372,11.170592,0.8339864
527,44.771107,10.893216,11.111367,0.82956475
528,44.771107,10.912061,11.052017,0.8251337
529,44.771107,10.930904,10.992544,0.8206935
530,44.771107,10.949749,10.932985,0.81624687
531,44.771107,10.968593,10.873358,0.8117952
