,Latitude,Longitude,NOx_2019,NOx_2020,NOx_2019_Norm,NOx_2020_Norm
221,44.494446,9.037879,4.057478,5.111601,0.08625602,0.10866512
222,44.494446,9.077778,4.082368,5.2663975,0.086785145,0.11195587
223,44.494446,9.117677,4.1007066,5.412633,0.087175,0.11506462
224,44.494446,9.157576,4.113333,5.5480986,0.08744342,0.11794442
225,44.494446,9.1974745,4.121505,5.671156,0.08761714,0.120560445
226,44.494446,9.237373,4.126772,5.7808285,0.087729104,0.12289192
227,44.494446,9.277273,4.130831,5.876774,0.08781539,0.124931574
228,44.494446,9.317172,4.1353526,5.9592032,0.08791152,0.1266839
229,44.494446,9.357071,4.1418395,6.0288067,0.08804942,0.12816358
230,44.494446,9.39697,4.151491,6.086628,0.0882546,0.12939277
231,44.494446,9.436869,4.1651273,6.1339226,0.08854449,0.13039818
232,44.494446,9.476768,4.183146,6.1720476,0.08892754,0.13120866
233,44.494446,9.516666,4.2055492,6.202381,0.0894038,0.1318535
234,44.494446,9.556565,4.2320013,6.226261,0.089966126,0.13236116
235,44.494446,9.596465,4.2619348,6.2449465,0.09060247,0.13275838
236,44.494446,9.636364,4.2946615,6.2596273,0.09129819,0.13307048
237,44.494446,9.676263,4.3294864,6.271437,0.09203852,0.13332154
238,44.494446,9.716162,4.3657913,6.281474,0.09281031,0.13353491
239,44.494446,9.756061,4.403095,6.2908316,0.09360333,0.13373384
240,44.494446,9.795959,4.4410644,6.300622,0.0944105,0.13394196
241,44.494446,9.835858,4.4795218,6.311973,0.09522805,0.13418327
242,44.494446,9.875757,4.518427,6.32603,0.09605511,0.1344821
243,44.494446,9.915656,4.557888,6.343942,0.096894,0.13486288
244,44.494446,9.955556,4.5981827,6.366827,0.097750604,0.1353494
245,44.494446,9.995455,4.6397877,6.39574,0.09863507,0.13596404
246,44.494446,10.035354,4.683417,6.431636,0.09956256,0.13672712
247,44.494446,10.075253,4.729989,6.4753017,0.10055262,0.1376554
248,44.494446,10.115151,4.780536,6.5273137,0.10162717,0.1387611
249,44.494446,10.15505,4.8360133,6.5879583,0.10280654,0.1400503
250,44.494446,10.194949,4.8970246,6.65716,0.10410355,0.14152144
251,44.494446,10.234848,4.963501,6.7344146,0.10551674,0.14316376
252,44.494446,10.274748,5.0343995,6.8187323,0.10702394,0.14495623
253,44.494446,10.314647,5.107509,6.908595,0.10857814,0.14686657
254,44.494446,10.354546,5.1794357,7.0019755,0.11010719,0.14885171
255,44.494446,10.394444,5.245825,7.096383,0.111518525,0.15085867
256,44.494446,10.434343,5.3018265,7.188957,0.11270904,0.15282667
257,44.494446,10.474242,5.342722,7.276613,0.11357842,0.1546901
258,44.494446,10.514141,5.3646107,7.356194,0.11404374,0.15638188
259,44.494446,10.55404,5.364981,7.424632,0.11405162,0.15783677
260,44.494446,10.59394,5.3430314,7.4790936,0.113584995,0.15899454
261,44.494446,10.633839,5.299675,7.517075,0.11266331,0.15980197
262,44.494446,10.673738,5.2372646,7.5364866,0.11133655,0.16021463
263,44.494446,10.713636,5.1591015,7.535685,0.109674916,0.16019759
264,44.494446,10.753535,5.068916,7.5134926,0.1077577,0.15972582
265,44.494446,10.793434,4.970396,7.4691978,0.105663314,0.15878417
266,44.494446,10.833333,4.8668375,7.4025693,0.10346182,0.15736775
267,44.494446,10.873232,4.7609596,7.313843,0.101211004,0.15548155
268,44.494446,10.913132,4.6548305,7.2037215,0.09895486,0.15314053
269,44.494446,10.953031,4.54992,7.0733747,0.096724615,0.15036955
270,44.494446,10.992929,4.4471684,6.924407,0.09454026,0.14720272
271,44.494446,11.032828,4.347123,6.75885,0.09241345,0.14368322
