,Latitude,Longitude,PM10,Normalized
342,44.76055,11.1758795,2.350251,0.9992067
343,44.76055,11.194724,2.350281,0.9992195
344,44.76055,11.213568,2.3503096,0.99923164
345,44.76055,11.232412,2.3503363,0.999243
346,44.76055,11.251256,2.3503613,0.9992537
347,44.76055,11.270101,2.3503847,0.9992636
348,44.76055,11.288945,2.3504064,0.9992728
349,44.76055,11.307789,2.3504264,0.99928135
350,44.76055,11.326633,2.3504448,0.99928916
351,44.76055,11.345477,2.3504617,0.9992963
352,44.76055,11.364322,2.3504772,0.9993029
353,44.76055,11.383165,2.350491,0.9993088
354,44.76055,11.40201,2.3505032,0.99931395
355,44.76055,11.420855,2.3505142,0.99931866
356,44.76055,11.439698,2.3505235,0.9993226
357,44.76055,11.458543,2.3505313,0.99932593
358,44.76055,11.477386,2.350538,0.9993288
359,44.76055,11.496231,2.350543,0.9993309
360,44.76055,11.515076,2.350547,0.9993326
361,44.76055,11.533919,2.3505495,0.9993336
362,44.76055,11.552764,2.3505507,0.99933416
363,44.76055,11.571608,2.3505507,0.99933416
364,44.76055,11.590452,2.3505495,0.9993336
365,44.76055,11.609297,2.350547,0.9993326
366,44.76055,11.62814,2.3505433,0.999331
367,44.76055,11.646985,2.3505385,0.999329
368,44.76055,11.665829,2.3505325,0.99932647
369,44.76055,11.684673,2.3505256,0.9993235
370,44.76055,11.703518,2.3505175,0.99932003
371,44.76055,11.722362,2.3505082,0.9993161
372,44.76055,11.741206,2.3504982,0.99931186
373,44.76055,11.76005,2.350487,0.9993071
374,44.76055,11.778894,2.3504748,0.9993019
375,44.76055,11.797739,2.3504617,0.9992963
376,44.76055,11.816583,2.3504477,0.99929035
377,44.76055,11.835427,2.3504326,0.99928397
378,44.76055,11.854271,2.350417,0.9992773
379,44.76055,11.873116,2.3504002,0.9992702
380,44.76055,11.89196,2.3503828,0.9992628
381,44.76055,11.910804,2.3503644,0.999255
382,44.76055,11.929648,2.3503456,0.99924695
383,44.76055,11.948492,2.3503258,0.99923855
384,44.76055,11.967337,2.3503053,0.99922985
385,44.76055,11.986181,2.350284,0.99922085
386,44.76055,12.005025,2.3502622,0.9992115
387,44.76055,12.0238695,2.3502395,0.9992019
388,44.76055,12.042713,2.3502164,0.99919206
389,44.76055,12.061558,2.3501925,0.99918187
390,44.76055,12.080402,2.3501682,0.99917156
391,44.76055,12.099246,2.3501432,0.9991609
392,44.76055,12.118091,2.3501177,0.9991501
393,44.76055,12.136934,2.3500915,0.9991389
394,44.76055,12.155779,2.350065,0.9991277
395,44.76055,12.1746235,2.3500378,0.9991161
396,44.76055,12.193467,2.3500104,0.99910444
397,44.76055,12.212312,2.3499823,0.9990925
398,44.76055,12.231155,2.349954,0.9990804
399,44.76055,12.25,2.349925,0.99906814
400,44.771107,8.5,2.338519,0.99421895
401,44.771107,8.518845,2.3385336,0.99422514
402,44.771107,8.537688,2.3385499,0.994232
403,44.771107,8.556533,2.3385677,0.9942396
404,44.771107,8.5753765,2.3385873,0.9942479
405,44.771107,8.594221,2.3386085,0.994257
