,Latitude,Longitude,NO2_2019,NO2_2020,NO2_2019_Norm,NO2_2020_Norm
243,44.790405,10.04394,10.825795,12.607498,0.28258425,0.3290918
244,44.790405,10.083333,10.826475,12.576752,0.28260198,0.3282892
245,44.790405,10.122727,10.822935,12.550209,0.2825096,0.32759637
246,44.790405,10.162121,10.820316,12.531788,0.28244123,0.32711554
247,44.790405,10.201515,10.826737,12.525167,0.28260884,0.3269427
248,44.790405,10.240909,10.85305,12.533572,0.2832957,0.32716212
249,44.790405,10.280303,10.912924,12.559406,0.28485855,0.32783645
250,44.790405,10.319697,11.022161,12.603912,0.28770995,0.32899818
251,44.790405,10.359091,11.194598,12.666837,0.29221106,0.3306407
252,44.790405,10.398485,11.431147,12.7462435,0.29838565,0.33271345
253,44.790405,10.437879,11.701734,12.838494,0.30544874,0.33512145
254,44.790405,10.477273,11.933053,12.938454,0.31148684,0.33773068
255,44.790405,10.516666,12.031635,13.039926,0.31406012,0.3403794
256,44.790405,10.556061,11.950799,13.136221,0.31195006,0.34289297
257,44.790405,10.595454,11.733992,13.220577,0.30629078,0.34509492
258,44.790405,10.634849,11.4738455,13.286415,0.2995002,0.34681347
259,44.790405,10.674242,11.2439375,13.327402,0.29349896,0.34788334
260,44.790405,10.713636,11.07339,13.337589,0.28904718,0.34814927
261,44.790405,10.753031,10.958796,13.311656,0.28605592,0.34747234
262,44.790405,10.792424,10.88342,13.245234,0.2840884,0.3457385
263,44.790405,10.831819,10.829886,13.135148,0.28269103,0.34286496
264,44.790405,10.871212,10.78556,12.979686,0.281534,0.33880696
265,44.790405,10.910606,10.743506,12.778689,0.28043628,0.33356038
266,44.790405,10.95,10.701663,12.533699,0.27934405,0.32716542
267,44.790405,10.989394,10.661655,12.248072,0.27829972,0.31970972
268,44.790405,11.028788,10.627556,11.927185,0.27740964,0.3113337
269,44.790405,11.068182,10.604049,11.578525,0.276796,0.30223262
270,44.790405,11.107575,10.594108,11.211606,0.27653652,0.29265502
271,44.790405,11.14697,10.597394,10.837379,0.27662233,0.28288662
272,44.790405,11.186363,10.61056,10.467235,0.276966,0.27322477
273,44.790405,11.225758,10.628966,10.111711,0.27744645,0.2639446
274,44.790405,11.265152,10.648365,9.779473,0.27795282,0.25527224
275,44.790405,11.304545,10.665813,9.476648,0.27840826,0.24736765
276,44.790405,11.34394,10.679838,9.206725,0.27877435,0.24032187
277,44.790405,11.383333,10.690154,8.970892,0.2790436,0.23416595
278,44.790405,11.422728,10.697212,8.768485,0.27922785,0.22888257
279,44.790405,11.462121,10.701758,8.597577,0.27934653,0.22442137
280,44.790405,11.501515,10.704541,8.455425,0.27941915,0.2207108
281,44.790405,11.540909,10.706175,8.338892,0.2794618,0.21766895
282,44.790405,11.580303,10.7071,8.244712,0.27948597,0.21521059
283,44.790405,11.619697,10.707608,8.1697,0.27949923,0.21325254
284,44.790405,11.659091,10.707881,8.110865,0.27950636,0.21171679
285,44.790405,11.698484,10.708023,8.065504,0.27951005,0.21053274
286,44.790405,11.737879,10.7080965,8.031215,0.27951196,0.20963769
287,44.790405,11.777273,10.708134,8.00591,0.27951294,0.20897716
288,44.790405,11.816667,10.708153,7.9878035,0.27951345,0.20850453
289,44.790405,11.856061,10.708161,7.975391,0.27951366,0.20818053
290,44.790405,11.895454,10.708166,7.967418,0.27951378,0.20797242
291,44.790405,11.934849,10.708168,7.962853,0.27951384,0.20785326
292,44.790405,11.974242,10.708169,7.960855,0.27951387,0.2078011
293,44.790405,12.013637,10.70817,7.9607477,0.2795139,0.2077983
294,44.790405,12.05303,10.70817,7.9619956,0.2795139,0.20783088
295,44.790405,12.092424,10.70817,7.9641747,0.2795139,0.20788775
296,44.790405,12.131818,10.70817,7.966957,0.2795139,0.20796038
297,44.790405,12.171212,10.70817,7.970092,0.2795139,0.2080422
298,44.790405,12.210606,10.70817,7.973392,0.2795139,0.20812835
299,44.790405,12.25,10.70817,7.976718,0.2795139,0.20821518
300,44.810608,8.35,10.708183,7.2587547,0.27951422,0.18947427
301,44.810608,8.389394,10.708136,7.1994953,0.279513,0.18792744
302,44.810608,8.428788,10.707991,7.141629,0.27950922,0.18641697
303,44.810608,8.468182,10.7076235,7.0868926,0.27949962,0.18498819
304,44.810608,8.507576,10.70679,7.037468,0.27947786,0.18369806
305,44.810608,8.546969,10.705045,6.995989,0.2794323,0.18261534
306,44.810608,8.586364,10.701647,6.965673,0.2793436,0.181824
307,44.810608,8.625757,10.695506,6.9502993,0.27918333,0.18142271
308,44.810608,8.665152,10.685334,6.954227,0.27891782,0.18152523
309,44.810608,8.704545,10.670273,6.9823117,0.27852467,0.18225832
310,44.810608,8.743939,10.651368,7.039702,0.2780312,0.18375637
311,44.810608,8.783334,10.633892,7.1315393,0.27757502,0.18615359
312,44.810608,8.822727,10.62927,7.2623763,0.27745438,0.1895688
313,44.810608,8.862122,10.6534395,7.4355345,0.27808526,0.19408873
314,44.810608,8.901515,10.718448,7.6522684,0.27978218,0.19974612
315,44.810608,8.940909,10.819624,7.911078,0.28242317,0.20650178
316,44.810608,8.980303,10.930004,8.207293,0.2853044,0.21423383
317,44.810608,9.019697,11.012792,8.533226,0.2874654,0.22274162
318,44.810608,9.059091,11.04455,8.878897,0.28829437,0.23176461
319,44.810608,9.098485,11.027163,9.233204,0.28784052,0.24101305
