,Latitude,Longitude,NO2,Normalized
254,44.76055,9.517588,11.572936,0.5289345
255,44.76055,9.536432,11.643694,0.53216845
256,44.76055,9.555276,11.712179,0.5352985
257,44.76055,9.5741205,11.77853,0.53833103
258,44.76055,9.592965,11.842861,0.54127127
259,44.76055,9.611809,11.905241,0.5441223
260,44.76055,9.630653,11.965731,0.546887
261,44.76055,9.649497,12.024353,0.54956627
262,44.76055,9.668342,12.081118,0.5521606
263,44.76055,9.687186,12.136006,0.5546693
264,44.76055,9.70603,12.18899,0.5570909
265,44.76055,9.7248745,12.240026,0.5594235
266,44.76055,9.743718,12.289055,0.5616643
267,44.76055,9.762563,12.336031,0.5638113
268,44.76055,9.781407,12.380877,0.565861
269,44.76055,9.800251,12.423542,0.56781095
270,44.76055,9.819096,12.463956,0.56965804
271,44.76055,9.837939,12.502066,0.57139987
272,44.76055,9.856784,12.537831,0.57303447
273,44.76055,9.875628,12.571209,0.57456
274,44.76055,9.894472,12.602162,0.5759747
275,44.76055,9.913317,12.630688,0.57727844
276,44.76055,9.93216,12.65677,0.5784705
277,44.76055,9.951005,12.680434,0.57955205
278,44.76055,9.96985,12.701703,0.58052415
279,44.76055,9.988693,12.7206135,0.5813885
280,44.76055,10.007538,12.737241,0.5821484
281,44.76055,10.0263815,12.751656,0.5828072
282,44.76055,10.045226,12.763954,0.5833693
283,44.76055,10.064071,12.774248,0.5838398
284,44.76055,10.082914,12.782665,0.58422446
285,44.76055,10.101759,12.7893505,0.58453006
286,44.76055,10.120603,12.794452,0.58476317
287,44.76055,10.139447,12.798138,0.5849317
288,44.76055,10.158292,12.800583,0.58504343
289,44.76055,10.177135,12.801962,0.58510643
290,44.76055,10.19598,12.802444,0.5851285
291,44.76055,10.214824,12.802214,0.58511794
292,44.76055,10.233668,12.801435,0.58508235
293,44.76055,10.252513,12.80026,0.58502865
294,44.76055,10.271357,12.798832,0.5849634
295,44.76055,10.290201,12.797265,0.58489174
296,44.76055,10.309045,12.795675,0.5848191
297,44.76055,10.327889,12.794115,0.5847478
298,44.76055,10.346734,12.792633,0.5846801
299,44.76055,10.365578,12.791244,0.58461654
300,44.76055,10.384422,12.789919,0.584556
301,44.76055,10.403266,12.788606,0.58449596
302,44.76055,10.422111,12.787213,0.58443236
303,44.76055,10.440955,12.785607,0.58435893
304,44.76055,10.459799,12.78363,0.58426857
305,44.76055,10.478643,12.781092,0.5841526
306,44.76055,10.497487,12.777769,0.5840007
307,44.76055,10.516332,12.773413,0.5838016
308,44.76055,10.535176,12.767757,0.5835431
309,44.76055,10.55402,12.760508,0.5832118
310,44.76055,10.572865,12.751356,0.58279353
311,44.76055,10.591708,12.739983,0.5822737
312,44.76055,10.610553,12.726062,0.58163744
313,44.76055,10.629397,12.709253,0.58086926
314,44.76055,10.648241,12.6892185,0.57995355
315,44.76055,10.667086,12.665621,0.57887506
316,44.76055,10.685929,12.638144,0.5776192
317,44.76055,10.704774,12.606463,0.5761713
318,44.76055,10.7236185,12.570282,0.5745176
319,44.76055,10.742462,12.529327,0.57264584
320,44.76055,10.761307,12.483351,0.5705445
321,44.76055,10.78015,12.432137,0.56820375
322,44.76055,10.798995,12.375494,0.56561494
323,44.76055,10.81784,12.313277,0.5627714
324,44.76055,10.836683,12.245396,0.5596689
325,44.76055,10.855528,12.171766,0.5563037
326,44.76055,10.874372,12.092386,0.55267566
327,44.76055,10.893216,12.007271,0.5487855
328,44.76055,10.912061,11.916494,0.5446366
329,44.76055,10.930904,11.82018,0.5402346
330,44.76055,10.949749,11.718478,0.5355864
331,44.76055,10.968593,11.61161,0.5307021
332,44.76055,10.987437,11.49982,0.52559274
333,44.76055,11.006282,11.383407,0.52027214
334,44.76055,11.0251255,11.262711,0.51475585
335,44.76055,11.04397,11.1381035,0.50906074
336,44.76055,11.062814,11.010005,0.5032061
337,44.76055,11.081658,10.878855,0.4972119
338,44.76055,11.100503,10.745126,0.4910999
339,44.76055,11.119347,10.609322,0.48489305
340,44.76055,11.138191,10.471935,0.47861388
341,44.76055,11.157035,10.333487,0.47228616
342,44.76055,11.1758795,10.194478,0.46593285
343,44.76055,11.194724,10.05541,0.45957685
344,44.76055,11.213568,9.916773,0.45324048
345,44.76055,11.232412,9.779007,0.44694397
346,44.76055,11.251256,9.642553,0.44070745
347,44.76055,11.270101,9.507794,0.43454838
348,44.76055,11.288945,9.37509,0.42848316
349,44.76055,11.307789,9.244768,0.4225269
350,44.76055,11.326633,9.117094,0.41669163
351,44.76055,11.345477,8.992325,0.41098914
352,44.76055,11.364322,8.870648,0.40542796
353,44.76055,11.383165,8.752254,0.40001678
354,44.76055,11.40201,8.637259,0.39476103
355,44.76055,11.420855,8.525776,0.38966575
356,44.76055,11.439698,8.4178915,0.38473496
357,44.76055,11.458543,8.313643,0.37997037
358,44.76055,11.477386,8.21307,0.37537372
359,44.76055,11.496231,8.116171,0.370945
360,44.76055,11.515076,8.022938,0.36668384
361,44.76055,11.533919,7.9333477,0.36258918
362,44.76055,11.552764,7.847352,0.3586588
363,44.76055,11.571608,7.7649055,0.3548906
364,44.76055,11.590452,7.685936,0.35128134
365,44.76055,11.609297,7.610374,0.34782785
366,44.76055,11.62814,7.538144,0.34452662
367,44.76055,11.646985,7.4691544,0.34137347
368,44.76055,11.665829,7.4033203,0.33836457
369,44.76055,11.684673,7.3405414,0.3354953
370,44.76055,11.703518,7.2807226,0.33276132
371,44.76055,11.722362,7.223769,0.3301583
372,44.76055,11.741206,7.169576,0.32768142
373,44.76055,11.76005,7.1180477,0.32532635
374,44.76055,11.778894,7.069079,0.32308826
375,44.76055,11.797739,7.022572,0.3209627
376,44.76055,11.816583,6.978431,0.31894526
377,44.76055,11.835427,6.936554,0.31703126
378,44.76055,11.854271,6.896849,0.3152166
379,44.76055,11.873116,6.859219,0.31349674
380,44.76055,11.89196,6.823575,0.31186762
381,44.76055,11.910804,6.7898293,0.3103253
382,44.76055,11.929648,6.7578893,0.30886552
383,44.76055,11.948492,6.727678,0.30748472
384,44.76055,11.967337,6.699109,0.306179
385,44.76055,11.986181,6.672105,0.30494478
386,44.76055,12.005025,6.64659,0.30377865
387,44.76055,12.0238695,6.6224904,0.30267718
388,44.76055,12.042713,6.5997376,0.3016373
389,44.76055,12.061558,6.578261,0.3006557
390,44.76055,12.080402,6.557997,0.29972956
391,44.76055,12.099246,6.538884,0.298856
392,44.76055,12.118091,6.520861,0.29803228
393,44.76055,12.136934,6.5038724,0.2972558
394,44.76055,12.155779,6.487861,0.29652402
395,44.76055,12.1746235,6.472777,0.2958346
396,44.76055,12.193467,6.45857,0.2951853
397,44.76055,12.212312,6.445192,0.29457384
398,44.76055,12.231155,6.432599,0.2939983
399,44.76055,12.25,6.420747,0.2934566
400,44.771107,8.5,5.7257366,0.26169154
401,44.771107,8.518845,5.7561145,0.26307997
402,44.771107,8.537688,5.790618,0.26465693
403,44.771107,8.556533,5.8294644,0.26643237
404,44.771107,8.5753765,5.8728743,0.2684164
405,44.771107,8.594221,5.921065,0.27061892
406,44.771107,8.613066,5.9742565,0.27305
407,44.771107,8.631909,6.0326333,0.2757181
408,44.771107,8.650754,6.096407,0.27863282
409,44.771107,8.669598,6.165755,0.28180233
410,44.771107,8.688442,6.2408357,0.28523386
411,44.771107,8.707287,6.321807,0.28893462
412,44.771107,8.7261305,6.408779,0.29290962
413,44.771107,8.744975,6.5018554,0.29716364
414,44.771107,8.763819,6.6010656,0.30169797
415,44.771107,8.782663,6.706467,0.30651528
416,44.771107,8.801508,6.8180065,0.31161314
417,44.771107,8.820352,6.935618,0.3169885
418,44.771107,8.839196,7.059182,0.32263592
419,44.771107,8.85804,7.1884937,0.32854605
420,44.771107,8.876884,7.32333,0.33470866
421,44.771107,8.895729,7.4633512,0.34110826
422,44.771107,8.914573,7.6081843,0.34772778
423,44.771107,8.933417,7.7573977,0.35454747
424,44.771107,8.952261,7.9104652,0.36154333
425,44.771107,8.971106,8.066841,0.3686904
426,44.771107,8.98995,8.2259,0.37596008
427,44.771107,9.008794,8.38697,0.3833217
428,44.771107,9.027638,8.549376,0.3907444
429,44.771107,9.046482,8.712402,0.39819542
430,44.771107,9.065327,8.875326,0.40564176
431,44.771107,9.084171,9.037453,0.41305166
432,44.771107,9.103015,9.198076,0.42039287
433,44.771107,9.12186,9.356556,0.4276361
434,44.771107,9.140703,9.512268,0.43475282
435,44.771107,9.159548,9.664675,0.4417185
436,44.771107,9.178392,9.813292,0.44851094
437,44.771107,9.197236,9.957682,0.45511022
438,44.771107,9.216081,10.097536,0.46150216
439,44.771107,9.234924,10.232576,0.4676741
440,44.771107,9.253769,10.362642,0.47361872
441,44.771107,9.272614,10.487615,0.4793305
442,44.771107,9.291457,10.607466,0.48480824
443,44.771107,9.310302,10.722252,0.49005446
444,44.771107,9.329145,10.832031,0.49507186
445,44.771107,9.34799,10.936989,0.4998689
446,44.771107,9.366835,11.037307,0.50445384
447,44.771107,9.385678,11.133214,0.5088372
448,44.771107,9.404523,11.224956,0.51303023
449,44.771107,9.423367,11.312803,0.51704526
450,44.771107,9.442211,11.397043,0.5208954
451,44.771107,9.461055,11.477931,0.52459234
452,44.771107,9.479899,11.555746,0.52814883
453,44.771107,9.498744,11.630727,0.5315758
454,44.771107,9.517588,11.703113,0.53488415
455,44.771107,9.536432,11.773102,0.53808296
456,44.771107,9.555276,11.840864,0.54118
457,44.771107,9.5741205,11.906555,0.54418236
458,44.771107,9.592965,11.970279,0.5470948
459,44.771107,9.611809,12.032118,0.54992115
460,44.771107,9.630653,12.092135,0.5526642
461,44.771107,9.649497,12.150352,0.555325
462,44.771107,9.668342,12.206772,0.5579036
463,44.771107,9.687186,12.261375,0.56039923
464,44.771107,9.70603,12.314119,0.5628099
465,44.771107,9.7248745,12.364964,0.5651337
466,44.771107,9.743718,12.413843,0.5673677
467,44.771107,9.762563,12.460685,0.56950855
468,44.771107,9.781407,12.505421,0.5715532
469,44.771107,9.800251,12.547984,0.57349855
470,44.771107,9.819096,12.588297,0.575341
471,44.771107,9.837939,12.626297,0.57707775
472,44.771107,9.856784,12.661928,0.57870626
473,44.771107,9.875628,12.695139,0.58022416
474,44.771107,9.894472,12.725897,0.58162993
475,44.771107,9.913317,12.754181,0.58292264
476,44.771107,9.93216,12.779974,0.5841015
477,44.771107,9.951005,12.80329,0.58516717
478,44.771107,9.96985,12.824146,0.58612037
479,44.771107,9.988693,12.842582,0.58696294
480,44.771107,10.007538,12.858655,0.58769757
481,44.771107,10.0263815,12.872448,0.58832794
482,44.771107,10.045226,12.884048,0.5888581
483,44.771107,10.064071,12.893574,0.5892935
484,44.771107,10.082914,12.90115,0.5896398
485,44.771107,10.101759,12.906921,0.58990353
486,44.771107,10.120603,12.911049,0.5900922
487,44.771107,10.139447,12.91371,0.5902138
488,44.771107,10.158292,12.915072,0.59027606
489,44.771107,10.177135,12.915323,0.59028757
490,44.771107,10.19598,12.914653,0.5902569
491,44.771107,10.214824,12.913246,0.5901926
492,44.771107,10.233668,12.911275,0.5901025
493,44.771107,10.252513,12.908913,0.58999455
494,44.771107,10.271357,12.906304,0.58987534
495,44.771107,10.290201,12.9035845,0.589751
496,44.771107,10.309045,12.900862,0.5896266
497,44.771107,10.327889,12.898214,0.5895056
498,44.771107,10.346734,12.895692,0.5893903
499,44.771107,10.365578,12.89332,0.5892819
500,44.771107,10.384422,12.891071,0.5891791
501,44.771107,10.403266,12.888902,0.58908
502,44.771107,10.422111,12.886712,0.5889799
503,44.771107,10.440955,12.884378,0.5888732
504,44.771107,10.459799,12.881741,0.5887527
505,44.771107,10.478643,12.878604,0.58860934
506,44.771107,10.497487,12.8747425,0.58843285
507,44.771107,10.516332,12.869904,0.58821166
508,44.771107,10.535176,12.863806,0.58793294
509,44.771107,10.55402,12.856155,0.5875833
510,44.771107,10.572865,12.846636,0.58714825
511,44.771107,10.591708,12.834909,0.5866123
512,44.771107,10.610553,12.820639,0.58596003
513,44.771107,10.629397,12.803474,0.5851756
514,44.771107,10.648241,12.783073,0.5842431
515,44.771107,10.667086,12.759081,0.5831466
516,44.771107,10.685929,12.731159,0.58187044
517,44.771107,10.704774,12.698978,0.58039963
518,44.771107,10.7236185,12.662232,0.57872015
519,44.771107,10.742462,12.620628,0.5768187
520,44.771107,10.761307,12.573915,0.57468367
521,44.771107,10.78015,12.521855,0.5723043
522,44.771107,10.798995,12.464258,0.56967187
523,44.771107,10.81784,12.400975,0.56677955
524,44.771107,10.836683,12.331894,0.56362224
525,44.771107,10.855528,12.25695,0.560197
526,44.771107,10.874372,12.176121,0.5565027
527,44.771107,10.893216,12.08943,0.55254054
528,44.771107,10.912061,11.996949,0.5483138
529,44.771107,10.930904,11.898808,0.54382825
530,44.771107,10.949749,11.795158,0.53909105
531,44.771107,10.968593,11.686223,0.5341122
532,44.771107,10.987437,11.572256,0.5289034
533,44.771107,11.006282,11.453562,0.52347857
534,44.771107,11.0251255,11.330496,0.5178539
535,44.771107,11.04397,11.203435,0.51204664
536,44.771107,11.062814,11.072813,0.50607663
537,44.771107,11.081658,10.939081,0.4999645
538,44.771107,11.100503,10.802732,0.49373278
539,44.771107,11.119347,10.664286,0.48740515
540,44.771107,11.138191,10.524245,0.4810047
