"","IDSensor","IDStation","Pollutant","NameStation","Altitude","Province","City","DateStart","DateStop","Latitude","Longitude"
"130",10023,685,"CO","Calusco d' Adda",273,"BG","Calusco d'Adda",2006-06-30,NA,45.6904290785451,9.48426092764779
"131",6338,545,"NOx","Motta Visconti (aria)",100,"MI","Motta Visconti",1998-03-17,NA,45.2819561974278,8.98856272679325
"132",9963,508,"PM10","Cassano d`Adda - Via di Vona",133,"MI","Cassano d'Adda",2006-01-01,2017-12-12,45.5200086703217,9.51222096894355
"133",6665,565,"Ozone","Cant� - via Meucci",369,"CO","Cant�",2005-01-17,NA,45.7308367226743,9.12573432702293
"134",6306,518,"NOx","Galliate",153,"NO","Galliate",1992-12-07,2017-01-01,45.4680440793097,8.73676932023362
"135",5724,513,"Ozone","Trezzo d`Adda",199,"MI","Trezzo sull'Adda",2001-02-22,2017-01-01,45.6136917587774,9.50812248390592
"136",5849,556,"CO","Gallarate - P.zza S.Lorenzo",240,"VA","Gallarate",1991-06-25,2012-01-04,45.6574598250304,8.79757083283147
"137",9800,671,"CO","Mantova - Tridolino",22,"MN","Mantova",2005-01-20,2017-01-01,45.1533195857856,10.8592639119623
"138",10506,1269,"Benzene","Dalmine - via Verdi",207,"BG","Dalmine",2010-09-01,NA,45.6497025123625,9.60122333878526
"139",10507,1269,"NO2","Dalmine - via Verdi",207,"BG","Dalmine",2010-02-12,NA,45.6497025123625,9.60122333878526
"140",6845,659,"NOx","Odolo",349,"BS","Odolo",1990-10-08,NA,45.6460496337252,10.389295302792
"141",12638,548,"Arsenic","Milano - via Senato",118,"MI","Milano",2008-07-09,NA,45.470499014097,9.19746036011253
"142",20216,690,"Sulfur_dioxide","Casoni - AGIP",73,"PV","Mezzana Bigli",2006-01-20,NA,45.0696586413859,8.86888929943922
"143",5832,514,"CO","Rho - via Statuto",152,"MI","Rho",1991-10-02,NA,45.5234256620035,9.04459987111101
"144",29041,561,"Benzene","Como - viale Cattaneo",202,"CO","Como",NA,NA,45.8150428601129,9.06697137484454
"145",5821,540,"CO","Garbagnate",175,"MI","Garbagnate Milanese",1992-11-30,2011-07-14,45.5717162655023,9.07824159056828
"146",12029,706,"PM2.5","Lecco - Via Sora",272,"LC","Lecco",2000-12-31,NA,45.8637488412797,9.39995034468185
"147",10039,687,"CO","Ferno",215,"VA","Ferno",2006-11-06,NA,45.6192437799476,8.75697044545343
"148",6837,658,"NO2","Manerbio - via Solferino",66,"BS","Manerbio",1992-08-28,2015-03-03,45.349959493128,10.1447522359473
"149",5511,508,"NO2","Cassano d`Adda - Via di Vona",133,"MI","Cassano d'Adda",1984-12-17,2018-01-01,45.5200086703217,9.51222096894355
"150",12611,546,"Benzo_a_pyrene","Magenta",137,"MI","Magenta",2008-04-15,NA,45.4624157911066,8.88021043312557
"151",6786,653,"NO2","Brescia - via Ziziola",125,"BS","Brescia",1997-10-15,2018-07-30,45.5145591905673,10.2184635028013
"152",5513,510,"NO2","Inzago",138,"MI","Inzago",1991-01-01,2018-01-01,45.539768856661,9.48688536743615
"153",6370,543,"NOx","Vimercate",194,"MB","Vimercate",1994-12-23,2018-07-30,45.6149208704422,9.36839616178516
"154",12675,1264,"Cadmium","Sondrio - via Paribelli",290,"SO","Sondrio",2008-04-01,NA,46.1678524406651,9.8792099244699
"155",5714,535,"Ozone","Lacchiarella",97,"MI","Lacchiarella",1998-09-17,2018-01-01,45.3245174128473,9.13451726419928
"156",10086,696,"NOx","Monzambano - campo sportivo",88,"MN","Monzambano",2006-12-01,2017-01-01,45.3891535402378,10.6905762650721
"157",9877,674,"NO2","Monza - via Machiavelli",162,"MB","Monza",2005-10-21,NA,45.5802634844224,9.27357309271327
"158",6952,654,"PM10","Sarezzo - via Minelli",269,"BS","Sarezzo",2000-06-23,NA,45.6496267122407,10.205090218837
"159",6904,596,"Ozone","Osio Sotto",182,"BG","Osio Sotto",2004-09-08,NA,45.6205556793956,9.61173782181237
"160",6813,656,"NO2","Gambara",47,"BS","Gambara",1990-02-16,NA,45.2495436247462,10.2991194960641
"161",5610,607,"NO2","Abbadia Cerreto",64,"LO","Abbadia Cerreto",2000-01-13,NA,45.3095022692823,9.58579041612041
"162",5549,546,"NO2","Magenta",137,"MI","Magenta",1995-04-22,NA,45.4624157911066,8.88021043312557
"163",6853,660,"Sulfur_dioxide","Ospitaletto",155,"BS","Ospitaletto",1990-02-16,2003-09-16,45.5532513997544,10.0849161439684
"164",6801,654,"CO","Sarezzo - via Minelli",269,"BS","Sarezzo",1990-02-18,NA,45.6496267122407,10.205090218837
"165",10037,687,"NOx","Ferno",215,"VA","Ferno",2006-11-06,NA,45.6192437799476,8.75697044545343
"166",9961,669,"PM10","Brescia - Villaggio Sereno",70,"BS","Brescia",2006-01-01,NA,45.5130388186538,10.1919418887793
"167",5653,555,"Sulfur_dioxide","Busto Arsizio - via Magenta",222,"VA","Busto Arsizio",1991-05-25,2012-01-03,45.6107360400126,8.85011575209207
"168",10035,672,"Benzene","Cornale (Voghera Energia)",74,"PV","Cornale",2006-02-02,NA,45.0400765720296,8.91414459900241
"169",10072,693,"PM10","Sannazzaro de' Burgondi - AGIP",85,"PV","Sannazzaro de' Burgondi",2007-01-01,NA,45.1027662768414,8.90417452771467
"170",10143,701,"NO2","Ostiglia - via Colombo",14,"MN","Ostiglia",2006-11-29,2017-01-01,45.073311155732,11.1370340072998
"171",5598,595,"NO2","Filago - via Don Milani",190,"BG","Filago",1992-03-06,NA,45.6338645090807,9.55608425579086
"172",5567,564,"NO2","Erba - via Battisti",279,"CO","Erba",2009-06-13,NA,45.808573806923,9.22177920448843
"173",6852,660,"NO2","Ospitaletto",155,"BS","Ospitaletto",1990-02-16,2018-07-30,45.5532513997544,10.0849161439684
"174",10390,556,"PM10","Gallarate - P.zza S.Lorenzo",240,"VA","Gallarate",2003-01-01,2018-07-30,45.6574598250304,8.79757083283147
"175",5753,553,"PM10","Saronno - via Marconi",211,"VA","Saronno",2000-11-22,2003-12-12,45.6239696859256,9.03722652567352
"176",9835,664,"PM10","Mantova - p.zza Gramsci",18,"MN","Mantova",2004-12-28,NA,45.1517433795766,10.7814077000957
"177",10321,707,"NO2","Mortara",108,"PV","Mortara",2007-10-04,2017-01-01,45.2547287207888,8.74415437971093
"178",5545,542,"NO2","Meda",222,"MB","Meda",1995-11-01,NA,45.6617621918917,9.1566439845516
"179",5587,584,"NO2","Bergamo - via Garibaldi",249,"BG","Bergamo",1994-06-21,NA,45.6956803443269,9.66124914606551
"180",5831,515,"CO","Pero",141,"MI","Pero",1991-05-10,2018-07-30,45.5098522667925,9.08997202033733
"181",6859,661,"NO2","Rezzato",147,"BS","Rezzato",1992-08-05,NA,45.5157082948446,10.3362404229965
"182",17162,681,"PM2.5","Moggio",1194,"LC","Moggio",2012-10-20,NA,45.9127875203029,9.49753816765342
"183",5548,545,"NO2","Motta Visconti (aria)",100,"MI","Motta Visconti",1998-03-17,NA,45.2819561974278,8.98856272679325
"184",5617,508,"Sulfur_dioxide","Cassano d`Adda - Via di Vona",133,"MI","Cassano d'Adda",1976-10-14,2017-12-11,45.5200086703217,9.51222096894355
"185",6649,507,"PM_tot","Villasanta $",176,"MB","Villasanta",1990-02-27,2008-07-24,45.6086213496584,9.30711845157256
"186",6606,591,"PM_tot","Seriate",256,"BG","Seriate",1991-11-20,2000-01-27,45.6863560643991,9.71494791763153
"187",5512,509,"NO2","Rivolta d` Adda - via Beccaria",101,"CR","Rivolta d'Adda",1991-01-01,2018-01-01,45.4685530169473,9.51134533383752
"188",5648,507,"Sulfur_dioxide","Villasanta $",176,"MB","Villasanta",1976-12-18,1999-05-03,45.6086213496584,9.30711845157256
"189",6891,667,"Ozone","Marmirolo - Bosco Fontana",22,"MN","Marmirolo",2003-01-01,2018-01-01,45.2081790393849,10.7426362511732
"190",5807,576,"CO","Merate",279,"LC","Merate",1991-12-24,NA,45.6979519897024,9.4061909386866
"191",6939,600,"PM10","Lodi - viale Vignati",80,"LO","Lodi",2000-12-05,NA,45.3060129875238,9.48526286320174
"192",10168,703,"Sulfur_dioxide","Schivenoglia",NA,"MN","Schivenoglia",2006-12-13,NA,45.0168778207554,11.0760946326405
"193",10432,1264,"NO2","Sondrio - via Paribelli",290,"SO","Sondrio",2009-01-04,NA,46.1678524406651,9.8792099244699
"194",6691,642,"Ozone","Pavia - via Folperti",77,"PV","Pavia",2002-06-01,NA,45.1946760990779,9.16463830063009
"195",5954,627,"Ozone","Cremona - p.zza Cadorna",39,"CR","Cremona",1997-12-11,2010-08-30,45.1319469128517,10.015741513336
"196",5696,606,"Sulfur_dioxide","S.Giuliano Milanese",97,"MI","San Giuliano Milanese",2000-01-13,2015-12-15,45.3961946255272,9.28270007555784
"197",6781,652,"NO2","Brescia - via Turati",154,"BS","Brescia",1999-01-13,NA,45.539529434956,10.2317859074772
"198",6777,651,"CO","Brescia - via Triumplina $",175,"BS","Brescia",1999-01-15,2005-10-19,45.571585522612,10.2314869130289
"199",10112,698,"Ozone","Ceneselli",13,"RO","Ceneselli",2006-11-28,2017-01-01,45.0132567684933,11.3723449480582
"200",6356,504,"NOx","Sesto S.Giovanni",139,"MI","Sesto San Giovanni",1980-12-18,NA,45.5347657650922,9.23610792341164
"201",12687,633,"Lead","Soresina",70,"CR","Soresina",2008-04-01,NA,45.2839771544676,9.86339841999363
"202",12598,609,"Lead","Casirate d`Adda",108,"BG","Casirate d'Adda",2008-04-24,NA,45.4982271339449,9.55623226235176
"203",5656,553,"Sulfur_dioxide","Saronno - via Marconi",211,"VA","Saronno",1993-06-25,2001-12-18,45.6239696859256,9.03722652567352
"204",5565,562,"NO2","Mariano Comense",256,"CO","Mariano Comense",1991-02-17,2015-03-01,45.6886573138168,9.18065776863827
"205",6826,657,"NO2","Lonato",180,"BS","Lonato del Garda",1990-02-16,NA,45.4637531362103,10.4807720435713
"206",5826,546,"CO","Magenta",137,"MI","Magenta",1995-04-22,NA,45.4624157911066,8.88021043312557
"207",5678,563,"Sulfur_dioxide","Fino Mornasco",304,"CO","Fino Mornasco",1991-02-18,2007-11-29,45.7480444095457,9.04259284418394
"208",12604,655,"Lead","Darfo (aria)",221,"BS","Darfo Boario Terme",2008-04-18,NA,45.8746021098904,10.1773568089814
"209",5695,601,"Sulfur_dioxide","Montanaso",84,"LO","Montanaso Lombardo",2000-01-13,2008-04-11,45.336131009052,9.45255388178171
"210",12589,669,"Arsenic","Brescia - Villaggio Sereno",70,"BS","Brescia",2008-04-01,NA,45.5130388186538,10.1919418887793
"211",6408,626,"NOx","Corte de Cortesi",57,"CR","Corte de' Cortesi con Cignone",2002-01-01,NA,45.2784875547884,10.0062023912043
"212",6604,589,"PM_tot","Nembro $",309,"BG","Nembro",1991-06-05,2005-06-13,45.7430368303431,9.76053557277002
