"","Date","IDStation","PM10"
"343",2019-07-01,690,15.4666666666667
"344",2019-08-01,690,16.1666666666667
"345",2019-09-01,690,16.6785714285714
"346",2019-10-01,690,23.0666666666667
"347",2019-11-01,690,17.0714285714286
"348",2019-12-01,690,34.5185185185185
"349",2020-01-01,690,52.8666666666667
"350",2020-02-01,690,35.1724137931034
"351",2020-03-01,690,25.0322580645161
"352",2020-04-01,690,19.3
"353",2020-05-01,690,14.1290322580645
"354",2020-06-01,690,12.8148148148148
"355",2020-07-01,690,12.36
"356",2020-08-01,690,17.76
"357",2020-09-01,690,19.6551724137931
"358",2020-10-01,690,26.5925925925926
"359",2020-11-01,690,46.9333333333333
"360",2020-12-01,690,30.6206896551724
"361",2019-01-01,683,57.6129032258064
"362",2019-02-01,683,64.7142857142857
"363",2019-03-01,683,42.7241379310345
"364",2019-04-01,683,25.7931034482759
"365",2019-05-01,683,16.7407407407407
"366",2019-06-01,683,30.5333333333333
"367",2019-07-01,683,26
"368",2019-08-01,683,20.8888888888889
"369",2019-09-01,683,23
"370",2019-10-01,683,26.0322580645161
"371",2019-11-01,683,19.5925925925926
"372",2019-12-01,683,33.258064516129
"373",2020-01-01,683,54.4838709677419
"374",2020-02-01,683,40.3448275862069
"375",2020-03-01,683,26.3333333333333
"376",2020-04-01,683,20.5
"377",2020-05-01,683,12.5714285714286
"378",2020-06-01,683,13.2333333333333
"379",2020-07-01,683,18.5161290322581
"380",2020-08-01,683,16.8709677419355
"381",2020-09-01,683,20.3103448275862
"382",2020-10-01,683,24.6774193548387
"383",2020-11-01,683,47.3666666666667
"384",2020-12-01,683,36.9354838709677
"385",2019-01-01,529,NA
"386",2019-02-01,529,NA
"387",2019-03-01,529,NA
"388",2019-04-01,529,NA
"389",2019-05-01,529,NA
"390",2019-06-01,529,NA
"391",2019-07-01,529,NA
"392",2019-08-01,529,NA
"393",2019-09-01,529,NA
"394",2019-10-01,529,NA
"395",2019-11-01,529,NA
"396",2019-12-01,529,NA
"397",2020-01-01,529,NA
"398",2020-02-01,529,NA
"399",2020-03-01,529,NA
"400",2020-04-01,529,NA
"401",2020-05-01,529,NA
"402",2020-06-01,529,NA
"403",2020-07-01,529,NA
"404",2020-08-01,529,NA
"405",2020-09-01,529,NA
"406",2020-10-01,529,NA
"407",2020-11-01,529,NA
"408",2020-12-01,529,NA
"409",2019-01-01,608,60.4444444444444
"410",2019-02-01,608,65.4347826086957
"411",2019-03-01,608,38.4137931034483
"412",2019-04-01,608,24.037037037037
"413",2019-05-01,608,18.3870967741935
"414",2019-06-01,608,31.7333333333333
"415",2019-07-01,608,27
"416",2019-08-01,608,27.6129032258065
"417",2019-09-01,608,34.4333333333333
"418",2019-10-01,608,41.4074074074074
"419",2019-11-01,608,24.4666666666667
"420",2019-12-01,608,47.5161290322581
"421",2020-01-01,608,77.4516129032258
"422",2020-02-01,608,55.4137931034483
"423",2020-03-01,608,39.258064516129
"424",2020-04-01,608,26.4642857142857
"425",2020-05-01,608,19.5483870967742
"426",2020-06-01,608,16.7
"427",2020-07-01,608,20.258064516129
"428",2020-08-01,608,23.2758620689655
"429",2020-09-01,608,31.4
"430",2020-10-01,608,32
"431",2020-11-01,608,61.7333333333333
"432",2020-12-01,608,40
"433",2019-01-01,573,NA
"434",2019-02-01,573,NA
"435",2019-03-01,573,NA
"436",2019-04-01,573,NA
"437",2019-05-01,573,NA
"438",2019-06-01,573,NA
"439",2019-07-01,573,NA
"440",2019-08-01,573,NA
"441",2019-09-01,573,NA
"442",2019-10-01,573,NA
"443",2019-11-01,573,NA
"444",2019-12-01,573,NA
"445",2020-01-01,573,NA
"446",2020-02-01,573,NA
"447",2020-03-01,573,NA
"448",2020-04-01,573,NA
"449",2020-05-01,573,NA
"450",2020-06-01,573,NA
"451",2020-07-01,573,NA
"452",2020-08-01,573,NA
"453",2020-09-01,573,NA
"454",2020-10-01,573,NA
"455",2020-11-01,573,NA
"456",2020-12-01,573,NA
"457",2019-01-01,561,43.1612903225806
"458",2019-02-01,561,47.72
"459",2019-03-01,561,27.6206896551724
"460",2019-04-01,561,21.6923076923077
"461",2019-05-01,561,14.6538461538462
"462",2019-06-01,561,23.25
"463",2019-07-01,561,19.08
"464",2019-08-01,561,17.9677419354839
"465",2019-09-01,561,21.6
"466",2019-10-01,561,24.2903225806452
"467",2019-11-01,561,17.9666666666667
"468",2019-12-01,561,32.7096774193548
"469",2020-01-01,561,55.6774193548387
"470",2020-02-01,561,40.2413793103448
"471",2020-03-01,561,27.9655172413793
"472",2020-04-01,561,23.5769230769231
"473",2020-05-01,561,15.9677419354839
"474",2020-06-01,561,12.9642857142857
"475",2020-07-01,561,16.2258064516129
"476",2020-08-01,561,15.6428571428571
"477",2020-09-01,561,20.1
"478",2020-10-01,561,22.28
"479",2020-11-01,561,50.7666666666667
"480",2020-12-01,561,29.7096774193548
"481",2019-01-01,544,NA
"482",2019-02-01,544,NA
"483",2019-03-01,544,NA
"484",2019-04-01,544,NA
"485",2019-05-01,544,NA
"486",2019-06-01,544,NA
"487",2019-07-01,544,NA
"488",2019-08-01,544,NA
"489",2019-09-01,544,NA
"490",2019-10-01,544,NA
"491",2019-11-01,544,NA
"492",2019-12-01,544,NA
"493",2020-01-01,544,NA
