,Latitude,Longitude,NO2,norm
535,44.769096,10.365578,11.527829,0.30093655
536,44.769096,10.379397,11.578996,0.30227226
537,44.769096,10.393216,11.634281,0.3037155
538,44.769096,10.407035,11.692621,0.3052385
539,44.769096,10.420855,11.752522,0.3068022
540,44.769096,10.434673,11.812049,0.30835617
541,44.769096,10.448492,11.868916,0.30984068
542,44.769096,10.462312,11.920579,0.31118938
543,44.769096,10.4761305,11.964431,0.31233412
544,44.769096,10.48995,11.998047,0.31321168
545,44.769096,10.503769,12.019452,0.31377047
546,44.769096,10.517588,12.027335,0.31397626
547,44.769096,10.531407,12.021263,0.31381774
548,44.769096,10.545226,12.00169,0.31330678
549,44.769096,10.559045,11.969931,0.3124777
550,44.769096,10.572865,11.927982,0.31138262
551,44.769096,10.586683,11.878257,0.31008455
552,44.769096,10.600503,11.823354,0.3086513
553,44.769096,10.614322,11.765795,0.3071487
554,44.769096,10.62814,11.707836,0.30563566
555,44.769096,10.64196,11.651353,0.30416116
556,44.769096,10.655779,11.5977955,0.30276304
557,44.769096,10.669598,11.548159,0.30146724
558,44.769096,10.683417,11.503038,0.3002894
559,44.769096,10.697236,11.462688,0.29923603
560,44.769096,10.711055,11.427084,0.29830658
561,44.769096,10.7248745,11.39599,0.29749486
562,44.769096,10.738693,11.36904,0.29679132
563,44.769096,10.752513,11.345768,0.2961838
564,44.769096,10.766332,11.325679,0.29565936
565,44.769096,10.78015,11.30826,0.29520464
566,44.769096,10.79397,11.293019,0.29480678
567,44.769096,10.807789,11.279504,0.29445395
568,44.769096,10.821608,11.267305,0.2941355
569,44.769096,10.835427,11.256066,0.2938421
570,44.769096,10.849246,11.24549,0.29356602
571,44.769096,10.863066,11.235329,0.29330075
572,44.769096,10.876884,11.225394,0.2930414
573,44.769096,10.890703,11.215547,0.29278433
574,44.769096,10.904523,11.205693,0.2925271
575,44.769096,10.918342,11.19579,0.2922686
576,44.769096,10.93216,11.185833,0.29200867
577,44.769096,10.94598,11.175856,0.2917482
578,44.769096,10.959799,11.165932,0.29148912
579,44.769096,10.9736185,11.156162,0.2912341
580,44.769096,10.987437,11.146677,0.29098648
581,44.769096,11.001256,11.137623,0.29075012
582,44.769096,11.015076,11.129161,0.29052922
583,44.769096,11.028894,11.121453,0.29032803
584,44.769096,11.042713,11.114654,0.2901505
585,44.769096,11.056533,11.108898,0.29000026
586,44.769096,11.070352,11.104296,0.28988013
587,44.769096,11.084171,11.100922,0.28979203
588,44.769096,11.09799,11.098809,0.2897369
589,44.769096,11.111809,11.097954,0.28971455
590,44.769096,11.125628,11.0983095,0.28972384
591,44.769096,11.139447,11.099797,0.28976268
592,44.769096,11.153266,11.1023035,0.2898281
593,44.769096,11.167086,11.105701,0.2899168
594,44.769096,11.180904,11.109842,0.2900249
595,44.769096,11.194724,11.1145735,0.2901484
596,44.769096,11.208543,11.119742,0.29028335
597,44.769096,11.222362,11.125202,0.29042587
598,44.769096,11.236181,11.130817,0.29057246
599,44.769096,11.25,11.13646,0.29071978
600,44.778645,8.5,11.192729,0.29218867
601,44.778645,8.513819,11.192413,0.29218045
602,44.778645,8.527638,11.192015,0.29217005
603,44.778645,8.541457,11.191516,0.29215702
604,44.778645,8.555276,11.190895,0.2921408
605,44.778645,8.569096,11.190128,0.29212078
606,44.778645,8.582914,11.189189,0.29209626
607,44.778645,8.596734,11.188047,0.29206645
608,44.778645,8.610553,11.186674,0.29203063
609,44.778645,8.624372,11.185037,0.29198787
610,44.778645,8.638191,11.1831045,0.29193744
611,44.778645,8.65201,11.180854,0.29187867
