,desc_zona,id_zona,sigla_prov,Centroide,Latitude,Longitude
392,GARZENO - GRAVEDONA ED UNITI - STAZZONA,1372.0,CO,POINT (9.21521528006431 46.14457293517744),46.144572935177436,9.21521528006431
393,CREMIA,166.0,CO,POINT (9.257302916427475 46.08743513280076),46.08743513280076,9.257302916427475
394,VALGREGHENTINO,1202.0,LC,POINT (9.405455881427867 45.77152818026042),45.77152818026042,9.405455881427867
395,BREGANO,17.0,VA,POINT (8.68768754380952 45.8208998984464),45.8208998984464,8.68768754380952
396,DONGO,169.0,CO,POINT (9.271800787268367 46.12409068954982),46.12409068954982,9.271800787268367
397,DREZZO,170.0,CO,POINT (8.994754204507457 45.81723884362146),45.81723884362146,8.994754204507457
398,ERBA,171.0,CO,POINT (9.218128148751887 45.81196252169048),45.81196252169048,9.218128148751887
399,VALMADRERA,1203.0,LC,POINT (9.350757110925745 45.85206287750325),45.85206287750325,9.350757110925745
400,VARENNA,1204.0,LC,POINT (9.289983489934862 45.99026925969942),45.990269259699424,9.289983489934862
401,VERGIATE,121.0,VA,POINT (8.699919311757156 45.73147881727593),45.73147881727593,8.699919311757156
402,VERCURAGO,1205.0,LC,POINT (9.425554646482334 45.81061071142604),45.81061071142604,9.425554646482334
403,VERDERIO INFERIORE,1206.0,LC,POINT (9.436242517060203 45.65958200050011),45.65958200050011,9.436242517060203
404,VERDERIO SUPERIORE,1207.0,LC,POINT (9.44424252130788 45.66788148224713),45.66788148224713,9.44424252130788
405,VIGANO`,1208.0,LC,POINT (9.327653715560405 45.7228220887044),45.722822088704405,9.327653715560405
406,BERTONICO,1209.0,LO,POINT (9.671625123014751 45.24543704861797),45.24543704861797,9.671625123014751
407,BOFFALORA D`ADDA,1210.0,LO,POINT (9.486820600469358 45.35885608417583),45.358856084175834,9.486820600469358
408,BORGHETTO LODIGIANO,1211.0,LO,POINT (9.49889009649916 45.21171908070298),45.21171908070298,9.49889009649916
