IdSensore,NomeTipoSensore,UnitaMisura,Idstazione,NomeStazione,Quota,Provincia,Comune,Storico,DataStart,DataStop,Utm_Nord,UTM_Est,lat,lng,location,Valore,idOperatore
12695,Piombo,ng/m³,1264,Sondrio - via Paribelli,290.0,SO,Sondrio,N,01/04/2008,,5113073,567873,46.16785244066512,9.879209924469905,"(46.167852440665115, 9.879209924469903)",7.96232,1
6260,Ossidi di Azoto,µg/m³,607,Abbadia Cerreto,64.0,LO,Abbadia Cerreto,N,13/01/2000,,5017500,545920,45.309502269282255,9.585790416120414,"(45.309502269282255, 9.585790416120414)",31.776714285714284,1
6400,Ossidi di Azoto,µg/m³,560,Varese - via Copelli,383.0,VA,Varese,N,07/08/2003,,5073728,486035,45.81697323326368,8.820240707158211,"(45.816973233263674, 8.820240707158211)",50.07224128073175,1
12641,Benzo(a)pirene,ng/m³,548,Milano - via Senato,118.0,MI,Milano,N,10/07/2008,,5035238,515435,45.470499014097,9.197460360112531,"(45.470499014097, 9.197460360112531)",0.36397872340425574,1
12590,Cadmio,ng/m³,669,Brescia - Villaggio Sereno,70.0,BS,Brescia,N,01/04/2008,,5040636,593101,45.51303881865376,10.19194188877931,"(45.513038818653754, 10.19194188877931)",0.2990000000000001,1
17126,Benzene,µg/m³,705,Milano - Pascal Città Studi,122.0,MI,Milano,N,13/09/2012,,5036190,518405,45.47899606168744,9.235491038497502,"(45.47899606168744, 9.235491038497502)",1.7130136986301376,1
20401,Benzene,µg/m³,571,Bormio,1225.0,SO,Bormio,N,21/02/2017,,5147136,605598,46.46952397132585,10.375432759159036,"(46.46952397132585, 10.375432759159036)",-136.26164383561647,1
6945,PM10 (SM2005),µg/m³,633,Soresina,70.0,CR,Soresina,N,04/02/2000,,5014860,567712,45.28397715446764,9.863398419993636,"(45.28397715446764, 9.863398419993635)",-179.6074074074074,1
12616,Piombo,ng/m³,670,Mantova - S.Agnese,22.0,MN,Mantova,N,19/02/2008,,5002356,641122,45.16056833010576,10.79556411370788,"(45.16056833010576, 10.79556411370788)",9.82780769230769,1
10437,Ozono,µg/m³,1264,Sondrio - via Paribelli,290.0,SO,Sondrio,N,04/01/2009,,5113073,567873,46.16785244066512,9.879209924469905,"(46.167852440665115, 9.879209924469903)",40.33846813375244,1
10037,Ossidi di Azoto,µg/m³,687,Ferno,215.0,VA,Ferno,N,06/11/2006,,5051773,481053,45.61924377994763,8.756970445453431,"(45.61924377994763, 8.756970445453431)",45.18731428571413,1
5825,Monossido di Carbonio,mg/m³,531,Limito,114.0,MI,Pioltello,N,11/11/1994,,5036730,525583,45.48363035323249,9.327360033215143,"(45.48363035323249, 9.327360033215145)",-1907.9122857142738,1
12688,Benzo(a)pirene,ng/m³,633,Soresina,70.0,CR,Soresina,N,02/04/2008,,5014860,567712,45.28397715446764,9.863398419993636,"(45.28397715446764, 9.863398419993635)",0.38161224489795914,1
10070,Biossido di Zolfo,µg/m³,693,Sannazzaro de' Burgondi - AGIP,85.0,PV,Sannazzaro de' Burgondi,N,01/01/2007,,4994371,492461,45.10276627684137,8.90417452771467,"(45.10276627684137, 8.90417452771467)",-26.744657142857147,1
9972,Ozono,µg/m³,679,Valmadrera,247.0,LC,Valmadrera,N,21/02/2006,,5076576,527307,45.842207261022544,9.351658166127958,"(45.842207261022544, 9.351658166127958)",-72.36082356305415,1
10438,Particelle sospese PM2.5,µg/m³,1264,Sondrio - via Paribelli,290.0,SO,Sondrio,N,11/11/2008,,5113073,567873,46.16785244066512,9.879209924469905,"(46.167852440665115, 9.879209924469903)",19.48611111111111,1
9971,Monossido di Carbonio,mg/m³,679,Valmadrera,247.0,LC,Valmadrera,N,16/02/2006,,5076576,527307,45.842207261022544,9.351658166127958,"(45.842207261022544, 9.351658166127958)",-445.63797540748925,1
6764,Monossido di Carbonio,mg/m³,649,Brescia - Broletto,149.0,BS,Brescia,N,01/01/1983,,5043674,595467,45.540057846971386,10.222818449274216,"(45.540057846971386, 10.222818449274216)",-99.49679999999968,1
10458,Biossido di Azoto,µg/m³,1266,Bertonico,65.0,LO,Bertonico,N,03/08/2009,,5009105,552297,45.23349364130374,9.666250375296032,"(45.23349364130374, 9.666250375296032)",18.112696597083215,1
17039,Cadmio,ng/m³,583,Bergamo - via Meucci,249.0,BG,Bergamo,N,13/01/2012,,5059922,550116,45.69103740547214,9.643650579461385,"(45.69103740547214, 9.643650579461385)",0.17284,1
6701,Biossido di Azoto,µg/m³,643,Pavia - p.zza Minerva,77.0,PV,Pavia,N,03/03/2002,,5003660,511522,45.18632908049483,9.146666041286784,"(45.18632908049483, 9.146666041286784)",35.82454987139178,1
9978,Particelle sospese PM2.5,µg/m³,609,Casirate d`Adda,108.0,BG,Casirate d'Adda,N,11/11/2005,,5038450,543458,45.49822713394494,9.55623226235176,"(45.49822713394494, 9.556232262351761)",-381.5342465753425,1
10016,Biossido di Zolfo,µg/m³,664,Mantova - p.zza Gramsci,18.0,MN,Mantova,N,30/10/2006,,5001351,640031,45.151743379576594,10.78140770009565,"(45.151743379576594, 10.78140770009565)",-334.1892540725919,1
6918,PM10 (SM2005),µg/m³,560,Varese - via Copelli,383.0,VA,Varese,N,17/07/2003,,5073728,486035,45.81697323326368,8.820240707158211,"(45.816973233263674, 8.820240707158211)",27.89041095890411,1
5847,Monossido di Carbonio,mg/m³,558,Busto Arsizio - Accam,206.0,VA,Busto Arsizio,N,06/12/1998,,5047718,487687,45.582894292717725,8.842165456706075,"(45.582894292717725, 8.842165456706075)",-8.061114285714176,1
5652,Biossido di Zolfo,µg/m³,558,Busto Arsizio - Accam,206.0,VA,Busto Arsizio,N,06/12/1998,,5047718,487687,45.582894292717725,8.842165456706075,"(45.582894292717725, 8.842165456706075)",-439.0214061160338,1
11041,Biossido di Zolfo,µg/m³,674,Monza - via Machiavelli,162.0,MB,Monza,N,10/02/2011,,5047450,521343,45.58026348442243,9.273573092713274,"(45.58026348442243, 9.273573092713274)",-320.01300318563614,1
